Estimate ID,In General Export,In Our Database,In Detailed Export,Status,Division,Price
EST3021281,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021293,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021300,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021325,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021364,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021382,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021391,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3021412,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST5199924,Yes,Yes,Yes,Work Complete,LE Paving,3823.2
EST3019790,Yes,Yes,Yes,Verbal Contract Award,LE Maintenance (Summer/Winter),0
EST3019708,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3019672,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3018725,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3020854,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3020900,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3020916,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3020927,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3020940,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3019378,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST5196908,Yes,Yes,No,Estimate In Progress,LE Paving,2752.05
EST3016130,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015987,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3016416,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3015813,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015715,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015636,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015462,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST4934222,Yes,Yes,Yes,Billing Complete,LE Irrigation,4271.49
EST5193429,Yes,Yes,Yes,Billing Complete,LE Irrigation,6015.25
EST5193436,Yes,Yes,Yes,Billing Complete,LE Irrigation,5270.62
EST5193441,Yes,Yes,Yes,Billing Complete,LE Irrigation,4724.86
EST5193445,Yes,Yes,Yes,Billing Complete,LE Irrigation,9048.85
EST5192331,Yes,Yes,Yes,Work Complete,LE Paving,0
EST5189262,Yes,Yes,No,Estimate In Progress,LE Paving,14529.5
EST5185740,Yes,Yes,No,Estimate In Progress,LE Paving,1100.04
EST3000121,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000041,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3000180,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3000299,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2999661,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2999607,Yes,Yes,Yes,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST2999562,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2999761,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2999958,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST5183453,Yes,Yes,No,Estimate In Progress,LE Paving,509.76
EST2997285,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2997957,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2997198,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2997051,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2997097,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5177328,Yes,Yes,No,Estimate Lost,LE Tree Care,293.28
EST2401067,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2402266,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2402277,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2400936,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991669,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2992534,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2989892,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST2990552,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990228,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990263,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990275,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990282,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990320,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990334,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990340,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990344,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990355,Yes,Yes,Yes,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2990360,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991166,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990365,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990374,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990385,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990387,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990504,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990515,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990471,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990483,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990491,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990495,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990464,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5173848,Yes,Yes,Yes,Contract Signed,LE Paving,198
EST2989341,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2989374,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2989445,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2989468,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2989493,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2989584,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST5169653,Yes,Yes,Yes,Email Contract Award,Parking Lot Sweeping,0
EST5169713,Yes,Yes,Yes,Email Contract Award,Parking Lot Sweeping,0
EST5169722,Yes,Yes,Yes,Email Contract Award,Parking Lot Sweeping,0
EST2987508,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2987807,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2987854,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST4882212,Yes,Yes,Yes,Work Complete,LE Paving,7374
EST5167921,Yes,Yes,No,Estimate In Progress,LE Paving,675.34
EST5169179,Yes,Yes,Yes,Work Complete,LE Paving,4507.39
EST2981926,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2981931,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2981936,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2981943,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2982018,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2981716,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2981723,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2981739,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2981776,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2981791,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2981798,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2981803,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2980491,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2980535,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5164163,Yes,Yes,Yes,Billing Complete,LE Irrigation,122.22
EST2973061,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5160490,Yes,Yes,Yes,Contract Signed,LE Tree Care,87.99
EST5160526,Yes,Yes,Yes,Work Complete,LE Tree Care,141.05
EST5159391,Yes,Yes,No,Estimate In Progress,Snow,0
EST5161216,Yes,Yes,Yes,Work Complete,LE Tree Care,48.88
EST5157586,Yes,Yes,Yes,Work Complete,LE Tree Care,87.99
EST5158634,Yes,Yes,Yes,Work Complete,LE Paving,74875.4
EST2971998,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5159287,Yes,Yes,No,Estimate In Progress,Snow,0
EST5159324,Yes,Yes,No,Estimate In Progress,Snow,0
EST5158772,Yes,Yes,No,Estimate Lost,LE Tree Care,48.88
EST5158958,Yes,Yes,No,Estimate Lost,LE Tree Care,58.66
EST5155502,Yes,Yes,No,Estimate In Progress,Snow,0
EST5155420,Yes,Yes,No,Estimate In Progress,Snow,0
EST2961917,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2961930,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2961948,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962370,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962394,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST5007016,Yes,Yes,Yes,Contract Signed,LE Paving,2649.67
EST5146920,Yes,Yes,No,Estimate In Progress,Snow,0
EST2950205,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950382,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950986,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2951166,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950611,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950633,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950518,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950545,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950441,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950462,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2948972,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2949003,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2949022,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5139878,Yes,Yes,No,Estimate In Progress,Snow,0
EST5136416,Yes,Yes,No,Estimate In Progress,LE Paving,0
EST2944324,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944488,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944526,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944949,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941298,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941162,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941123,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943141,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943200,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5136418,Yes,Yes,No,Estimate In Progress,LE Paving,241.46
EST5136425,Yes,Yes,No,Estimate In Progress,LE Paving,0
EST5134028,Yes,Yes,No,Estimate In Progress,LE Paving,321.96
EST2935461,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2937280,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST4703602,Yes,Yes,Yes,Contract Signed,LE Paving,14758.4
EST5025582,Yes,Yes,Yes,Work Complete,LE Paving,17902.14
EST5127885,Yes,Yes,No,Client Proposal Phase,LE Landscapes,5462.14
EST5128498,Yes,Yes,No,Estimate In Progress,LE Paving,2666.76
EST5126353,Yes,Yes,No,Estimate In Progress,LE Paving,2181.32
EST5119966,Yes,Yes,Yes,Work Complete,LE Tree Care,0
EST5119361,Yes,Yes,No,Estimate Lost,LE Tree Care,1321.89
EST5118891,Yes,Yes,Yes,Contract Signed,LE Paving,0
EST5118321,Yes,Yes,Yes,Contract Signed,LE Paving,5894.51
EST2916221,Yes,Yes,Yes,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2910833,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST5113666,Yes,Yes,Yes,Contract Signed,LE Landscapes,90.59
EST5112378,Yes,Yes,No,Estimate In Progress,LE Irrigation,854.58
EST5112624,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST5112631,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST5113328,Yes,Yes,No,Estimate In Progress,LE Irrigation,13389.52
EST5113375,Yes,Yes,No,Estimate Lost - No Reply,LE Landscapes,218819.26
EST2902784,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2902994,Yes,Yes,No,Estimate In Progress,LE Irrigation,5274.24
EST2902249,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST5108572,Yes,Yes,No,Estimate Lost,LE Tree Care,146.64
EST5107205,Yes,Yes,Yes,Estimate Lost,LE Paving,2257.72
EST5107161,Yes,Yes,No,Estimate Lost,LE Tree Care,0
EST5107399,Yes,Yes,No,Estimate In Progress,LE Paving,8921
EST2896849,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5104385,Yes,Yes,No,Estimate In Progress,Snow,0
EST5104315,Yes,Yes,No,Estimate In Progress,Snow,0
EST5102174,Yes,Yes,No,Estimate In Progress,Parking Lot Sweeping,0
EST5314000,Yes,Yes,Yes,Estimate In Progress,LE Landscapes,6550.97
EST5092778,Yes,Yes,Yes,Work Complete,LE Tree Care,25.22
EST2840830,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2840834,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2840839,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2840806,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2840824,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941219,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST4920011,Yes,Yes,Yes,Work Complete,LE Paving,28613.5
EST2902891,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2402177,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2400958,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2388749,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2400780,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2607794,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2607814,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2719220,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865343,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865881,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865203,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865047,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865061,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865304,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865276,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2723505,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST4751221,Yes,Yes,Yes,Work Complete,LE Paving,35485.86
EST4863211,Yes,Yes,Yes,Contract Signed,LE Paving,1945.86
EST4958530,Yes,Yes,Yes,Contract Signed,LE Paving,6480.8
EST4884932,Yes,Yes,No,Estimate Lost,LE Tree Care,171.08
EST4885028,Yes,Yes,No,Estimate Lost,LE Tree Care,0
EST2722651,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3379319,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3379324,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3379306,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3379313,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST3379272,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2496816,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2845926,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2845819,Yes,Yes,Yes,Contract Signed,LE Maintenance (Summer/Winter),0
EST2686476,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2958032,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2958214,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865688,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865818,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865334,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865207,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865289,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865296,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865214,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5088869,Yes,Yes,No,Estimate In Progress,LE Paving,979.44
EST5084189,Yes,Yes,No,Client Proposal Phase,LE Tree Care,1144.93
EST5080856,Yes,Yes,No,Estimate In Progress,LE Paving,0
EST5079390,Yes,Yes,No,Work Complete,LE Tree Care,48.88
EST5079559,Yes,Yes,No,Estimate In Progress,LE Paving,873.15
EST5078367,Yes,Yes,No,Work Complete,LE Paving,0
EST5077566,Yes,Yes,No,Work Complete,LE Tree Care,97.76
EST5077328,Yes,Yes,No,Estimate In Progress,Snow,0
EST2848657,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2846458,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),9450.12
EST2846476,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),14499.45
EST5071590,Yes,Yes,No,Work Complete,LE Tree Care,0
EST2845958,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2845903,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2845801,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2844990,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST2845013,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST2845027,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST2845058,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST2845090,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST5068666,Yes,Yes,No,Estimate In Progress,Snow,233.7
EST5068658,Yes,Yes,No,Estimate In Progress,Snow,233.7
EST5068511,Yes,Yes,No,Estimate In Progress,Snow,233.7
EST5068685,Yes,Yes,No,Estimate In Progress,Snow,233.7
EST5064053,Yes,Yes,No,Work Complete,Snow,0
EST5064583,Yes,Yes,No,Work Complete,LE Tree Care,0
EST5064509,Yes,Yes,No,Work Complete,LE Tree Care,0
EST5064054,Yes,Yes,No,Work Complete,Snow,0
EST5065190,Yes,Yes,No,Work Complete,LE Tree Care,58.66
EST5060536,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060533,Yes,Yes,No,Email Contract Award,Snow,0
EST5060531,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060535,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060538,Yes,Yes,No,Work Complete,Snow,0
EST5060539,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060541,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060542,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060532,Yes,Yes,No,Work Complete,Snow,0
EST2902850,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5060260,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060261,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060256,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060257,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5060258,Yes,Yes,No,Work Complete,Snow,0
EST5060259,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5059445,Yes,Yes,No,Work Complete,Snow,0
EST5059447,Yes,Yes,No,Work Complete,Snow,0
EST5059740,Yes,Yes,No,Estimate In Progress,Snow,0
EST5059446,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5059452,Yes,Yes,No,Work Complete,Snow,0
EST5059776,Yes,Yes,No,Work Complete,Snow,0
EST5059442,Yes,Yes,No,Estimate In Progress,Snow,0
EST5059444,Yes,Yes,No,Estimate In Progress,Snow,0
EST5059775,Yes,Yes,No,Client Proposal Phase,Snow,0
EST5059547,Yes,Yes,No,Estimate In Progress,LE Landscapes,1747.04
EST5058847,Yes,Yes,No,Estimate In Progress,Snow,0
EST5058692,Yes,Yes,No,Client Proposal Phase,LE Tree Care,48.88
EST5058821,Yes,Yes,No,Estimate In Progress,Snow,0
EST5058632,Yes,Yes,No,Estimate In Progress,Snow,0
EST5056059,Yes,Yes,No,Estimate In Progress,Snow,0
EST5056057,Yes,Yes,No,Estimate In Progress,Snow,0
EST5056039,Yes,Yes,No,Estimate In Progress,Snow,0
EST5056042,Yes,Yes,No,Estimate In Progress,Snow,0
EST5056035,Yes,Yes,No,Work Complete,Snow,0
EST5044167,Yes,Yes,No,Work Complete,LE Tree Care,24.44
EST5044361,Yes,Yes,No,Work Complete,LE Tree Care,28.21
EST5044204,Yes,Yes,No,Work Complete,LE Tree Care,84.63
EST5041464,Yes,Yes,No,Estimate In Progress,LE Landscapes,2195.12
EST5042045,Yes,Yes,No,Estimate In Progress,LE Landscapes,403.7
EST5038676,Yes,Yes,No,Client Proposal Phase,LE Paving,0
EST5039715,Yes,Yes,No,Estimate In Progress,LE Landscapes,2361.71
EST5037578,Yes,Yes,No,Estimate In Progress,LE Paving,0
EST5034361,Yes,Yes,No,Estimate In Progress,LE Paving,489.72
EST5034415,Yes,Yes,No,Contract Signed,LE Paving,724.56
EST5034812,Yes,Yes,No,Estimate In Progress,LE Landscapes,19938.81
EST5026576,Yes,Yes,No,Estimate In Progress,LE Paving,3427.2
EST5026831,Yes,Yes,No,Estimate In Progress,LE Landscapes,260598.98
EST5015680,Yes,Yes,No,Client Proposal Phase,LE Paving,1167.53
EST5024874,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST5022433,Yes,Yes,No,Client Proposal Phase,LE Paving,2742.84
EST5023233,Yes,Yes,No,Work Complete,LE Paving,1582.93
EST5020099,Yes,Yes,No,Estimate Lost,LE Tree Care,80.72
EST5019047,Yes,Yes,No,Client Proposal Phase,LE Irrigation,0
EST5013622,Yes,Yes,No,Client Proposal Phase,LE Paving,23964.72
EST5020636,Yes,Yes,No,Work Complete,LE Tree Care,27.5
EST5020725,Yes,Yes,No,Estimate Lost - No Reply,LE Tree Care,677
EST5019068,Yes,Yes,No,Estimate Lost - No Reply,LE Tree Care,1650.15
EST5017272,Yes,Yes,No,Work Complete,LE Paving,772.68
EST5017789,Yes,Yes,No,Client Proposal Phase,LE Paving,4962.12
EST5017037,Yes,Yes,No,Estimate In Progress,LE Landscapes,10574.89
EST5014171,Yes,Yes,No,Client Proposal Phase,LE Irrigation,5906.88
EST2795247,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5015417,Yes,Yes,No,Client Proposal Phase,LE Landscapes,628.51
EST2792738,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST5009514,Yes,Yes,No,Client Proposal Phase,LE Landscapes,1885.52
EST5005191,Yes,Yes,No,Work Complete,LE Tree Care,0
EST5006731,Yes,Yes,No,Estimate Lost - No Reply,LE Tree Care,125.72
EST5005311,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST5005102,Yes,Yes,No,Work Complete,LE Tree Care,82.5
EST5002960,Yes,Yes,No,Client Proposal Phase,LE Landscapes,52070.93
EST5001620,Yes,Yes,No,Estimate In Progress,LE Paving,3699
EST4997175,Yes,Yes,No,Client Proposal Phase,LE Landscapes,13579.87
EST4998445,Yes,Yes,No,Client Proposal Phase,LE Irrigation,244.44
EST4995429,Yes,Yes,No,Estimate In Progress,LE Paving,398.43
EST4995481,Yes,Yes,No,Estimate In Progress,LE Paving,1214.28
EST4995958,Yes,Yes,No,Estimate In Progress,LE Paving,17723.68
EST4989602,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST4989652,Yes,Yes,No,Work In Progress,LE Maintenance Enchancements,0
EST4988815,Yes,Yes,No,Estimate In Progress,LE Maintenance Enchancements,0
EST2775475,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST4979782,Yes,Yes,No,Billing Complete,LE Irrigation,61.11
EST4980908,Yes,Yes,No,Work Complete,LE Tree Care,27.5
EST4980989,Yes,Yes,No,Work Complete,LE Tree Care,62.86
EST2959244,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST4981557,Yes,Yes,No,Work Complete,LE Tree Care,254.97
EST4975991,Yes,Yes,No,Client Proposal Phase,LE Paving,12207.74
EST4975308,Yes,Yes,No,Billing Complete,LE Maintenance Enchancements,0
EST2765346,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST4971450,Yes,Yes,No,Work Complete,LE Tree Care,412.5
